name,keywords,description,lacoin,signup,activities,interesting,zoom,password,video
The Global Uplift Project (formerly known as ODFL),"Helping Others, Awareness, Outreach, Teamwork, Community",TGUP is a service club on campus that aims to create a change in third world countries by collecting just $1 from high school students. ,y,https://forms.gle/bFmrBESLdrKtrWst5,"Club members will be involved in various fundraising events, planning of new projects in third world countries, and have the opportunity to go on a service trip abroad!","TGUP has completed over 120 successful and high impact projects in the developing world since its founding. These include classrooms, medical clinics, water systems, science labs, playgrounds and other projects that improve life chances for some of the poorest people in the world. ",https://us04web.zoom.us/j/79426975299?pwd=anhkRjdLd1A4b3ZIT0VPakt1ZGdtQT09,none,none
Best Buddies,"Helping Others, Health/Disabilities, Awareness, Outreach, Community",To facilitate friendships between LAHS students and people with intellectual or developmental disabilities. ,y,https://forms.gle/uzDX6kkJg1JHNxti8,"Last year we had friendship bracelet making, Halloween bingo, a huge thanksgiving potluck, cookie decorating, pumpkin decorating contest, and much more! We had many more fun ideas for meeting such as bullet journal making, board game days, and watching movies/clips about those with disabilities. ",Feeling included helps someone feel safe and welcome. We want to make sure that everyone feels welcomed and know that they have friends nearby. You should Best Buddies to help spread this inclusion throughout the entirety of the school. ,https://us04web.zoom.us/j/75420798103?pwd=TlJNdHhYVDEwVUVFSlhzcjV6V25HQT09,none,none
Women in STEM,"STEM, Diversity, Education, Community, Helping Others",To promote equal representation in STEM by encouraging and supporting a growing community of women in STEM,y,https://tinyurl.com/joiningWiSTEM2020,"Club members may participate in helping lead or participating in projects such as the STEMpower program and the WiSTEM Newsletter. WiSTEM also offers speaker events where students can learn about a specific field in STEM (i.e. possible STEM career paths, etc.). We also encourage students to participate in our mentorship program to offer guidance for students interested in pursuing STEM beyond high school. Everyone will have the opportunity to participate in fun team bonding events and grow more as a student in STEM! <br>","WiSTEM offers an abundance of opportunities for any student. We also offer a safe community for people's voices to be heard and are accepting of all students. We have a variety of ways to engage members, so there will never be a dull moment! <br>",https://zoom.us/j/94103418985?pwd=OWJNOXoyV3h5RE01aDFmN2RoWFFuZz09,none,none
Biomimicry Club,"STEM, Competition, Education, Design, Community",To explore the work of nature and combat global issues through creative designs with interdisciplinary insights into biology and engineering.,y,https://forms.gle/nGAi8AFaq63SpUHm7,"The Biomimicry Club provides an open environment for students to exercise research skills, practice prototype designs, and ultimately compete in the Biomimicry Youth Design Challenge. Prototype design “drills” and guest speakers events are organized to provide students with design-thinking mindsets while broadening their understanding of engineering.",Students interested in either engineering or biology bring different perspectives to the collaborate discussions and generate creative biomimicry ideas; everyone is welcomed!,https://zoom.us/j/96298040260?pwd=MnUwQzJNeUJKSTI2Q3pFVnVURFJ4UT09,none,none
Photography Club,"Art, Design, Creative, Community, Leisure",Dedicated to teaching fellow students photography free of academic obligations. No background in photography needed!,y,https://forms.gle/PWipGd6oGynMrEgB8,"Taking pictures, whether they are using their phone or a camera. Also learning about what makes up the composition of a photo and improving photography skills.","Photography can be a creative outlet with little to no regulations. There is no ""correct"" way to take a photo and in Photo Club you would be given the chance to practice and hone your skills.",https://zoom.us/j/94638244583?pwd=SlZvaUw5dk5FTCtESTVCcCtCQ0kxUT09,none,none
Guitar Club,"Music, Art, Creative, Community, Leisure","We'll learn and play guitar together (as best we can remotely), and we'll collaborate and create songs. This is a place for anybody that just wants to have fun and jam with other people; bassists, keyboardists, drummers, etc. are all welcome too. ",n,https://docs.google.com/forms/d/e/1FAIpQLScRIJfHkfkkxjvbdDznEdIYCAcqEinbUfbHG8DSwrl-BfyLEA/viewform?usp=sf_link,"Recording their parts in songs, editing videos, creating tutorials, choosing songs to play, writing music","A lot of people play instruments like the guitar, bass, or drums but it's hard to find other people to play with — it's not like there's a school-sponsored ""rock music program"" like there are orchestras or wind ensembles. This is just kind of a place to meet other people that like to play similar music. ",https://zoom.us/j/9943531088?pwd=MWhSMURSYlF3bDdVVlcxQXN5RGYxQT09,none,none
Russian Club,"Cultural, Community, Education, Helping Others, Leisure",Spread awareness about the immensely sophisticated culture of Russia.,n,https://lahsrussianclub.wixsite.com/sova,"- Connecting and socializing<br>- Discussing Russian culture<br>- Sampling Russian cuisine<br>- Watching Russian movies and cartoons<br>- Learning ""survival phrases""",We are providing a unique opportunity to experience the gems of the Russian culture,https://us04web.zoom.us/j/75936669821?pwd=SWdrS1pJdUQrc1VYMy9PclFhSFo5dz09,none,none
Buena Vista Youth Scholars (BVYS) ,"Education, Helping Others, Outreach, Awareness, Teamwork","Buena Vista Youth Scholars is a program that  provides tutors, role models, and mentors to the children in the Buena Vista Mobile Home Park in Palo Alto.",y,https://forms.gle/LmTJHMiFxiR7oVq86,"During their time, club members can volunteer to tutor children at Buena Vista in their homework and other concepts learned in school. Most of the children are in grades K-5, although we sometimes have middle schoolers and high schoolers. Tutoring is on a voluntary basis, and volunteers can sign up for certain days and times. ","BVYS gives you the unique opportunity to connect with people in your community who you may otherwise never meet. You will make new friends, learn new things about yourself and others, and become part of an amazing organization and community.",https://zoom.us/j/91892970374?pwd=dHRpVEpIVThYc3pyTzBURjNRRGpodz09,none,none
Mock Trial,"Public Speaking, Competition, Leadership, Creative, Community","The Mock Trial team competes in a simulated courtroom environment coached by real lawyers and presided over by county judges. Each year, we receive a new case from the county and prepare arguments for the prosecution and the defense, with different roles like attorneys, witnesses, clerks, bailiffs, etc. ",y,https://forms.gle/SeoAUU8fKiu4WMxYA,"We have weekly meeting to prepare arguments for cases and practice our roles. Then in January, we compete in the county Mock Trial competition with other teams from around the area. ","Mock Trial helps to build public speaking skills, practice acting, learn how a real courtroom works, and develop a fun community (and we have cool hoodies).",https://zoom.us/j/3388274867?pwd=Sy8yVVpTc2kxd0NRSkNiV0VleHpwUT09,none,none
Data Analysis Club,"Leadership, Coding, Creative, STEM, Helping Others","The Data Analysis Club is committed to making the school a better place through the power of Math, CS and critical thinking. We tutor, give lectures, and run year-long projects for LAHS students!",y,https://docs.google.com/forms/d/1Q9sddycAUH7xO_-W-ANKn9Sw2P0Lx6XWuerhFVCKOQk/edit,"Every meeting, we'll give engaging lectures for 10-15 minutes on how to apply data to cutting edge science such as economics, the brain, and computing.<br><br>Then, we'll split off into teams and giving personal help to people excited about making data-related projects.",This club is great for beginners and advanced programmers of all backgrounds -- we give tools and past experiences that can help anyone create a cool project that you'll be proud of.,https://zoom.us/j/92156975129?pwd=aHFGTFBnbmlHbkQwMnZzU284cHkwUT09,none,none
